"","Connective","SENT_ID","chi_surp","OOV","seq_len","TARGET_WORD","freq","chi_surp_llama2Chinese7B","OOV_llama2Chinese7B","seq_len_llama2Chinese7B","Plausibility","Z_Surp","Z_Surp_llama"
"1","ConnectiveN",1,4.85,0,38,"咬",4.45,2.31,0,29,"Plausible",-0.839549213694018,-0.980053360432504
"2","ConnectiveN",2,3.93,1,38,"紧张",4.94,3.45,0,25,"Implausible",-1.03396222006893,-0.744662194923985
"3","ConnectiveH",3,13.54,1,37,"撞破",3.33,12.43,1,29,"Plausible",0.996808422608132,1.1095594421519
"4","ConnectiveH",4,12.8,1,39,"雨伞",3.78,13.88,1,27,"Implausible",0.840432743567443,1.40896048600045
"5","ConnectiveN",5,7.15,0,38,"饿",4.58,8.88,0,27,"Plausible",-0.35351669775674,0.376543093419226
"6","ConnectiveN",6,10.75,1,38,"改善",5.05,10.24,0,23,"Implausible",0.407229848927695,0.657360624201319
"7","ConnectiveH",7,9.31,1,38,"受伤",4.95,10.58,0,25,"Plausible",0.102931230253921,0.727565006896842
"8","ConnectiveH",8,14.31,1,37,"庆祝",4.68,11.79,0,24,"Implausible",1.15952365620452,0.977410015901498
"9","ConnectiveN",9,6.75,1,38,"枯萎",3.22,1.26,1,25,"Plausible",-0.438044091832788,-1.19686101287456
"10","ConnectiveN",10,6.79,1,40,"掌声",3.97,2.09,0,28,"Implausible",-0.429591352425184,-1.02547972570608
"11","ConnectiveH",11,9.88,0,37,"哭",4.84,14.1,0,25,"Plausible",0.22338276681229,1.45438685127402
"12","ConnectiveH",12,5.63,1,38,"难过",4.61,6.04,0,23,"Implausible",-0.674720795245724,-0.20986998556691
"13","ConnectiveN",13,6.18,1,39,"监禁",4.21,4.77,1,24,"Plausible",-0.558495628391157,-0.472104003282541
"14","ConnectiveN",14,11.22,0,38,"穷",4.34,9.84,0,27,"Implausible",0.506549536967052,0.574767232794821
"15","ConnectiveH",15,7.15,1,38,"开心",4.96,13.78,0,24,"Plausible",-0.35351669775674,1.38831213814883
"16","ConnectiveH",16,16.75,0,39,"痒",3.86,16.09,0,29,"Implausible",1.67514076006842,1.86528897352135
"17","ConnectiveN",17,10.47,0,38,"签",4.48,5.43,0,23,"Plausible",0.348060673074461,-0.33582490746182
"18","ConnectiveN",18,7.1,0,37,"脏",4.05,4.01,0,25,"Implausible",-0.364082622016246,-0.629031446954888
"19","ConnectiveH",19,13.4,0,42,"周",4.99,6.34,0,33,"Plausible",0.967223834681515,-0.147924942012037
"20","ConnectiveH",20,5.24,0,37,"瘦",4.16,4.71,0,24,"Implausible",-0.757135004469871,-0.484493011993516
"21","ConnectiveN",21,5.96,0,39,"抓",5.18,7.23,0,29,"Plausible",-0.604985695132984,0.0358453538674215
"22","ConnectiveN",22,4.36,0,38,"绊",3.38,0.37,0,27,"Implausible",-0.943095271437177,-1.38063130875402
"23","ConnectiveH",23,10.53,1,39,"减少",5.17,10.09,0,22,"Plausible",0.360739782185868,0.626388102423882
