"","SOS_ID","ITEM_ID","SENT_ID","Connective","ita_surp_GePpeTto","OOV_GePpeTto","seq_len_GePpeTto","TARGET_WORD","freq","ita_surp_GroNLP","OOV_GroNLP","seq_len_GroNLP","ita_surp_llama2Italian7B","OOV_llama2Italian7B","seq_len_llama2Italian7B","Plausibility","Z_Surp_GePpeTto","Z_Surp_GroNLP","Z_Surp_llama2Italian7B"
"1","SR4a_06",6,21,"ConnectiveN",12.59,1,28,"migliorò",2.56,13.86,1,28,3.85,1,43,"Plausible",0.542800617686361,0.465733579654067,-0.933656164544311
"2","SR4a_07",7,26,"ConnectiveN",5.85,0,33,"ferito",4.38,8.6,0,33,10.06,1,43,"Implausible",-0.642726096358284,-0.382737464797344,-0.173035155414351
"3","SR4a_08",8,31,"ConnectiveH",22.85,1,30,"festeggiato",3.72,25.69,1,32,50.56,1,46,"Implausible",2.34747481443681,2.37398689825867,4.7875366432593
"4","SR4a_09",9,36,"ConnectiveH",7.84,1,30,"applaudito",2.95,8.42,1,30,4,1,38,"Plausible",-0.292696695624034,-0.411772595596062,-0.915283676401075
"5","SR3a_11",11,41,"ConnectiveN",9.12,1,28,"imprigionati",3.17,7.59,1,28,7.7,1,45,"Plausible",-0.0675521564582857,-0.545656809834592,-0.462095635534594
"6","SR3a_12",12,46,"ConnectiveN",5.44,0,30,"felici",4.58,7.36,0,31,19.08,1,42,"Implausible",-0.714842706559812,-0.582757254744065,0.931763798265558
"7","SR3a_13",13,51,"ConnectiveH",5.8,1,32,"prurito",3.37,11.96,1,33,7.01,1,42,"Implausible",-0.651520804919446,0.159251643445383,-0.546609080993478
"8","SR3a_14",14,56,"ConnectiveH",9.73,0,27,"firmato",4.51,10.28,0,27,15,1,38,"Plausible",0.0397432879878915,-0.111742910675981,0.432032120769546
"9","SR3a_15",15,57,"ConnectiveN",7.85,1,32,"sporchi",3.81,7.75,1,32,10.48,1,43,"Plausible",-0.290937753911802,-0.519847804680177,-0.121592188613291
"10","SR2a_17",17,66,"ConnectiveN",7.78,1,30,"magro",3.73,11.3,1,31,5.69,1,40,"Implausible",-0.303250345897428,0.0527894971834185,-0.708286976653953
