Item,Part,Quest,Gender,Edu,Time,Score,ITEM_ID,SENT_ID,SENTENCE,CONDITION,TARGET_WORD,SENT_COND
SR1a_01,5,SR1a,uomo,Licenza_elementare,1048,5,1,1,Olivia aveva comprato un pastore tedesco. Il cane era imprevedibile e violento. Le ha morso la mano.,PLAUS_NOCONN,morso,SC1
SR1a_01,4,SR1a,uomo,triennale,845,5,1,1,Olivia aveva comprato un pastore tedesco. Il cane era imprevedibile e violento. Le ha morso la mano.,PLAUS_NOCONN,morso,SC1
SR1a_01,2,SR1a,donna,magistrale,795,7,1,1,Olivia aveva comprato un pastore tedesco. Il cane era imprevedibile e violento. Le ha morso la mano.,PLAUS_NOCONN,morso,SC1
SR1a_01,1,SR1a,uomo,triennale,1355,5,1,1,Olivia aveva comprato un pastore tedesco. Il cane era imprevedibile e violento. Le ha morso la mano.,PLAUS_NOCONN,morso,SC1
SR1a_01,3,SR1a,uomo,Diploma_scuola,925,6,1,1,Olivia aveva comprato un pastore tedesco. Il cane era imprevedibile e violento. Le ha morso la mano.,PLAUS_NOCONN,morso,SC1
SR1a_02,2,SR1a,donna,magistrale,795,2,2,6,Claudio era tornato di corsa al ristorante. Grazie al cielo ha trovato il suo portafoglio sotto il tavolo. Si è sentito incredibilmente teso tutto il giorno.,IMPLAUS_NOCONN,teso,SC2
SR1a_02,4,SR1a,uomo,triennale,845,4,2,6,Claudio era tornato di corsa al ristorante. Grazie al cielo ha trovato il suo portafoglio sotto il tavolo. Si è sentito incredibilmente teso tutto il giorno.,IMPLAUS_NOCONN,teso,SC2
SR1a_02,3,SR1a,uomo,Diploma_scuola,925,5,2,6,Claudio era tornato di corsa al ristorante. Grazie al cielo ha trovato il suo portafoglio sotto il tavolo. Si è sentito incredibilmente teso tutto il giorno.,IMPLAUS_NOCONN,teso,SC2
SR1a_02,1,SR1a,uomo,triennale,1355,4,2,6,Claudio era tornato di corsa al ristorante. Grazie al cielo ha trovato il suo portafoglio sotto il tavolo. Si è sentito incredibilmente teso tutto il giorno.,IMPLAUS_NOCONN,teso,SC2
SR1a_02,5,SR1a,uomo,Licenza_elementare,1048,3,2,6,Claudio era tornato di corsa al ristorante. Grazie al cielo ha trovato il suo portafoglio sotto il tavolo. Si è sentito incredibilmente teso tutto il giorno.,IMPLAUS_NOCONN,teso,SC2
SR1a_03,5,SR1a,uomo,Licenza_elementare,1048,7,3,11,"Carlotta ha spinto il carrello della spesa sopra le buche. Le uova sono state sballottate nella borsa. Tuttavia, si sono rotte nel loro cartone.",IMPLAUS_CONN,rotte,SC3
SR1a_03,4,SR1a,uomo,triennale,845,5,3,11,"Carlotta ha spinto il carrello della spesa sopra le buche. Le uova sono state sballottate nella borsa. Tuttavia, si sono rotte nel loro cartone.",IMPLAUS_CONN,rotte,SC3
SR1a_03,3,SR1a,uomo,Diploma_scuola,925,7,3,11,"Carlotta ha spinto il carrello della spesa sopra le buche. Le uova sono state sballottate nella borsa. Tuttavia, si sono rotte nel loro cartone.",IMPLAUS_CONN,rotte,SC3
SR1a_03,2,SR1a,donna,magistrale,795,2,3,11,"Carlotta ha spinto il carrello della spesa sopra le buche. Le uova sono state sballottate nella borsa. Tuttavia, si sono rotte nel loro cartone.",IMPLAUS_CONN,rotte,SC3
SR1a_03,1,SR1a,uomo,triennale,1355,2,3,11,"Carlotta ha spinto il carrello della spesa sopra le buche. Le uova sono state sballottate nella borsa. Tuttavia, si sono rotte nel loro cartone.",IMPLAUS_CONN,rotte,SC3
SR1a_04,4,SR1a,uomo,triennale,845,2,4,16,"La giornata era stata alquanto nuvolosa. All'improvviso uscì il sole. Tuttavia, Sheila tirò fuori l'ombrello dalla borsa.",PLAUS_CONN,ombrello,SC4
SR1a_04,3,SR1a,uomo,Diploma_scuola,925,2,4,16,"La giornata era stata alquanto nuvolosa. All'improvviso uscì il sole. Tuttavia, Sheila tirò fuori l'ombrello dalla borsa.",PLAUS_CONN,ombrello,SC4
SR1a_04,5,SR1a,uomo,Licenza_elementare,1048,3,4,16,"La giornata era stata alquanto nuvolosa. All'improvviso uscì il sole. Tuttavia, Sheila tirò fuori l'ombrello dalla borsa.",PLAUS_CONN,ombrello,SC4
SR1a_04,1,SR1a,uomo,triennale,1355,2,4,16,"La giornata era stata alquanto nuvolosa. All'improvviso uscì il sole. Tuttavia, Sheila tirò fuori l'ombrello dalla borsa.",PLAUS_CONN,ombrello,SC4
