"","ITEM_ID","SENT_ID","SENTENCE","ConditionEvenSo","ConditionHowever","PlausibilityEvenSo","PlausibilityHowever","Connective","TARGET_WORD","gpt2_target_surprisal","distilgpt2_target_surprisal","gptneo_target_surprisal","gpt2_however_target_surprisal","distilgpt2_however_target_surprisal","gptneo_however_target_surprisal","gptneo_len_tokens"
"1",1,0,"Olivia bought a German shepherd. The dog was unpredictable and violent. It bit her hand. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","bit",9.18,10.55,4.12,9.18,10.55,4.12,21
"2",1,1,"Olivia bought a German shepherd. The dog was docile and friendly. It bit her hand. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","bit",11.25,11.47,10.06,11.25,11.47,10.06,22
"3",1,2,"Olivia bought a German shepherd. The dog was unpredictable and violent. Even so, it bit her hand. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","bit",12.43,11.41,10.43,13.43,12.43,9.77,24
"4",1,3,"Olivia bought a German shepherd. The dog was docile and friendly. Even so, it bit her hand. ","PLAUS_CONN","PLAUS_CONN","1","1","1","bit",11.63,11.05,7.77,11.28,10.35,6.38,25
"5",2,4,"Claude rushed back to the restaurant. He had lost his wallet somewhere. He felt incredibly tense all day. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","tense",8.39,9.12,10.26,8.39,9.12,10.26,23
"6",2,5,"Claude rushed back to the restaurant. Thank goodness he found his wallet under the table. He felt incredibly tense all day. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","tense",9.1,10.21,10.57,9.1,10.21,10.57,26
"7",2,6,"Claude rushed back to the restaurant. He had lost his wallet somewhere. Even so, he felt incredibly tense all day. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","tense",8.78,10.12,8.87,9.6,10.28,10.63,26
"8",2,7,"Claude rushed back to the restaurant. Thank goodness he found his wallet under the table. Even so, he felt incredibly tense all day. ","PLAUS_CONN","PLAUS_CONN","1","1","1","tense",8.12,11.01,8.88,7.91,10.32,10.43,29
"9",3,8,"Charlotte pushed her grocery cart over the potholes. The eggs bounced around in the bag. They broke inside their carton. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","broke",8.94,8.92,9.71,8.94,8.92,9.71,28
"10",3,9,"Charlotte pushed her grocery cart across the parking lot. The eggs had been packed very safely in the bag. They broke inside their carton. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","broke",12.19,11.4,12.6,12.19,11.4,12.6,30
"11",3,10,"Charlotte pushed her grocery cart over the potholes. The eggs bounced around in the bag. Even so, they broke inside their carton. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","broke",9.77,9.56,8.53,8.96,9,9.52,31
"12",3,11,"Charlotte pushed her grocery cart across the parking lot. The eggs had been packed very safely in the bag. Even so, they broke inside their carton. ","PLAUS_CONN","PLAUS_CONN","1","1","1","broke",9.97,10.8,9.46,9.33,8.95,10.2,33
"13",4,12,"The day had been somewhat overcast. All at once it started to rain. Sheila got out her umbrella from her bag. ","PLAUS_NOCONN","PLAUS_NOCONN","1","1","0","umbrella",5.52,9.57,0.59,5.52,9.57,0.59,26
"14",4,13,"The day had been somewhat overcast. All at once the sun came out. Sheila got out her umbrella from her bag. ","IMPLAUS_NOCONN","IMPLAUS_NOCONN","0","0","0","umbrella",6.15,9.69,3.2,6.15,9.69,3.2,26
"15",4,14,"The day had been somewhat overcast. All at once it started to rain. Even so, Sheila got out her umbrella from her bag. ","IMPLAUS_CONN","IMPLAUS_CONN","0","0","1","umbrella",5.44,9.49,0.57,5.42,9.88,0.51,29
"16",4,15,"The day had been somewhat overcast. All at once the sun came out. Even so, Sheila got out her umbrella from her bag. ","PLAUS_CONN","PLAUS_CONN","1","1","1","umbrella",6.2,9.81,2.93,6.32,10.05,2.91,29
